,asin,overall,review
1397632,B001DKMZ3G,5,In the height of the coloring craze I ordered these just for me! A classy set of art pencils just to give me an edge over the grandkids. Brilliant colors and smooth to use. I don't think I won any contests but by indulging I felt like a winner! Brilliant colors and smooth to use
1397633,B001DKMZ3G,5,My girl loved them Five Stars
1397634,B001DKMZ3G,5,Great product will buy from seller again . Thank you Five Stars
1397635,B001DKMZ3G,4,Bold beautiful colors. Great value.
1397636,B001DKMZ3G,4,gift Four Stars
1397637,B001DKMZ3G,5,nice gift Five Stars
1397638,B001DKMZ3G,5,All 50 colors were in the box as described. In great conditions and work amazing! In great conditions and work amazing
1397640,B001DKMZ3G,5,My son (7 y/o) loves these when he colors. Great for coloring adult coloring books
1397641,B001DKMZ3G,5,As expected. Five Stars
1397642,B001DKMZ3G,5,These pencils are very good.  I highly recommend them and would purchase them again.  The colors are very vivid and color very smoothly on my paper. I'm happy I chose this brand.  The seller sent them out immediately. Great Quality and Vivid Colors
1397643,B001DKMZ3G,5,"Purchased a set for myself and enjoyed them, so I bought 2 more as gifts. Smooth results, Easy to sharpen. Plenty of color choices. Purchased a set for myself and enjoyed them, so I bought 2 more as gifts"
1397644,B001DKMZ3G,5,I enjoy coloring with my pencils and gel pens !! Five Stars
1397645,B001DKMZ3G,5,"This deal almost seemed too good to be true! Great quality, fast shipping and beautiful colors. Wow what a deal!"
1397648,B001DKMZ3G,4,Super great value and premium pencils. It's a shame that the actual packaging is abysmal... Premium pencils but terrible packaging...
1397649,B001DKMZ3G,5,"These are great, good. Vibrant colors. Five Stars"
1397650,B001DKMZ3G,5,Use these for my adult coloring book. They sharpen nice and pointy to get into all the intricate details of the book. They sharpen nice and pointy to get into all the intricate details ...
1397651,B001DKMZ3G,5,COOL! Five Stars
1397652,B001DKMZ3G,5,Smooth and easy to color with. Sharpens well also. Five Stars
1397653,B001DKMZ3G,5,"My 6 year old asked for colored pencils for his birthday. He was very happy with these. For some reason, he's fascinated by metallic colors, so he particularly liked the gold, copper, and silver colored pencils.

I'm not an artist, so I can't address how useful these would be to the serious student or creator of art. But it's a great collection of pencils for the child --or adult-- who wants to move past the basic colors. Big hit w/ my 6 year old"
1397655,B001DKMZ3G,4,nice group of colored pencils except red in not dark enough.  It is too orangeish. Lots of variety in colors
1397656,B001DKMZ3G,5,Nice assortment; let my nephews play with them instead of markers or crayolas. Five Stars
1397657,B001DKMZ3G,5,love them Five Stars
1397658,B001DKMZ3G,5,"Great value. nice colors well worth the price. Have to elderly mother for coloring book. Variety of colors is great.

I recommend this for fun and better than smaller sets. Great for variety of color without going overboard. Great great value"
1397659,B001DKMZ3G,4,kids love them Four Stars
1397660,B001DKMZ3G,5,Given as a gift.  She loves them. Five Stars
1397661,B001DKMZ3G,5,Great quality as usual! Five Stars
1397662,B001DKMZ3G,5,worked Five Stars
1397663,B001DKMZ3G,5,I love these pencils. They are smooth and light. Delivery was prompt and price was right. Recommend to all artists Light and smooth
1397664,B001DKMZ3G,5,Great value Five Stars
1397665,B001DKMZ3G,1,Box containing pencils was delivered torn. One Star
1397666,B001DKMZ3G,5,Like the variety of colors Five Stars
1397667,B001DKMZ3G,4,"These pencil crayons work well and sharpen up a breeze.  Smooth action, nice colours. Great colouring pencils"
1397668,B001DKMZ3G,5,Great quality and colors Beautiful Colors
1397669,B001DKMZ3G,5,"Daughter was very pleased with the quality of these pencils and the quantity, and said they coloured smoothely and the colour was radiant. Performed Better than Expected"
1397670,B001DKMZ3G,4,"I got a few duplicates in my pack, but, overall, happy with the purchase. happy with the purchase"
1397672,B001DKMZ3G,5,Very nice set. Color is nice and clean on paper. Nice Variety and Price.
1397673,B001DKMZ3G,4,Doubles on black and white Four Stars
1397674,B001DKMZ3G,4,"Good for the price, and nice variety of colors.  You can definitely tell it is not as high quality as other products at a higher price point. Good for the price"
1397675,B001DKMZ3G,5,Perfect art material. Five Stars
1397676,B001DKMZ3G,4,"I gave the colors as a gift, accompanied by the coloring book --- everyone loved it! accompanied by the coloring book --- everyone loved it!"
1397677,B001DKMZ3G,4,"rich color, soft lead. Good pencils."
1397678,B001DKMZ3G,5,Very nice quality. Good for the price
1397679,B001DKMZ3G,5,Good product.  Last well. Five Stars
1397680,B001DKMZ3G,1,The colors don't match over 50% of the actual pencil colors. Wrong names on pencils
1397681,B001DKMZ3G,5,Wonderful set of colored pencils Five Stars
1397682,B001DKMZ3G,5,Great buy! Nice Pencils
1397683,B001DKMZ3G,5,Just as described. Five Stars
1397684,B001DKMZ3G,5,Goes with the coloring book Five Stars
1397685,B001DKMZ3G,5,I really like these pencils they're nice colored they do wonderful thank you Five Stars
1397686,B001DKMZ3G,5,Exactly as described. Five Stars
1397687,B001DKMZ3G,5,I give these out with color books. The ladies loved them The ladies loved
1397688,B001DKMZ3G,4,awesome awesome
1397689,B001DKMZ3G,5,Works fine. Five Stars
1397691,B001DKMZ3G,5,The look on the child's face when he saw what he got Five Stars
1397692,B001DKMZ3G,1,I receive incomplete I miss 10 pencils One Star
1397693,B001DKMZ3G,4,I like how vibrant these colored pencils are... Four Stars
1397694,B001DKMZ3G,4,"Dont expect much about it. The real color is lighter than the color on the pencil. And they're not smooth, I have to use more force to get a darker color. But they're quite ok in general. Anyway, don't expect much from it. Youll feel tired using it for a long time Dont expect much about it. The real color is ..."
1397696,B001DKMZ3G,5,Exceeded expectations. We've used these pencils for adult coloring book coloring many times since purchasing. VERY nice quality! Exceeded expecatations
1397697,B001DKMZ3G,5,"Great colors and quality for a great price! Great colors, quality, and price!"
1397698,B001DKMZ3G,5,Nice flowing colors. Five Stars
1397699,B001DKMZ3G,5,"Holds a nice point,
Great Colors Five Stars"
1397700,B001DKMZ3G,1,Dull colors One Star
1397701,B001DKMZ3G,5,Good quality pencils for great price . Five Stars
1397702,B001DKMZ3G,5,two sets of 25 colors...still like them .  gave one set away. still like them. gave one set away
1397703,B001DKMZ3G,5,Very nice quality pencils for the price. Good quality
1397704,B001DKMZ3G,5,Enjoyed it very much Five Stars
1397705,B001DKMZ3G,4,Looks good and solid construction. Should do just fine! Four Stars
1397706,B001DKMZ3G,5,Loves the colors Five Stars
1397707,B001DKMZ3G,5,
1397708,B001DKMZ3G,5,"Great Assortment of colors!  These colored pencils' strength is evident when sharpened!  They do not break easily as others do, rather frequently! Strength of the lead!"
1397709,B001DKMZ3G,5,smooth to use and good color output. nice color pencils.
1397710,B001DKMZ3G,1,Item came open and with 15 color pencils missing. One Star
1397711,B001DKMZ3G,5,great it has all the colors I wanted Five Stars
1397712,B001DKMZ3G,4,Great value and good quality. A staple for kids
1397713,B001DKMZ3G,4,"I am a ""beginner"" with colored pencils, and do not have a lot of experience blending colors.  I bought these for use in adult coloring books.  I don't have the budget to spend on high priced alternatives to learn with.  I don't expect to use colored pencils a lot in the future, so these seem like a decent compromise between price and quality.

My first reaction is that this set could use a couple more purples and fewer greens.  It seems very heavy on warm colors.  The reds lean more orange as well, with only one true ""red"".  The ""gold"" and ""silver"" are not metallic- the gold is a brown/gray and the silver looks very similar to regular graphite pencil. There are a total of 48 colors, with 2 white and 2 black pencils.

Included are some photos of my swatch page for this brand.  Please be aware that monitor colors differ and the colors may not appear as vibrant as reality.  Swatched on plain ""printer"" paper, not cardstock or toothy quality paper.  Each box is colored with the same pressure.  The top third of each box is one layer of color.  The middle third is two layers of color.  The bottom third is three layers.  The left side is not blended while the right side is blended with a Prisma colorless pencil.  Also included is a quick coloring page done with minimal blending using only these pencils.

I would say these should work fine for my needs, HOWEVER, true ""artists"" who are looking for blend-able highly pigmented pencils probably wouldn't like them.  I think they are best suited for students or learners who are not willing to shell out for the high-priced  brands.  This is definitely a case of ""you get what you pay for"".  I would like to point out that these are a bit more ""buttery""and lay down smoother than the Crayola brand at the same price.  It I had to choose between them, I would opt for the Sargent brand over the Crayola. A good value for students"
1397714,B001DKMZ3G,4,Great for doodling. The finest colored pencil.
1397715,B001DKMZ3G,5,A great assortment of colored pencils! Definitely recommend! Great Assortment!
1397716,B001DKMZ3G,5,beautiful colors & quality! I recommend the 24 country! Built for an artist! Nice colored pencils for a good price!
1397717,B001DKMZ3G,5,Great pencils. Color's great.
1397718,B001DKMZ3G,5,"Not much to say. They work well. No complaints, great price. Good pencils"
1397719,B001DKMZ3G,5,Arrived as show in great condition. Five Stars
1397720,B001DKMZ3G,5,Great for kids just what they need. Five Stars
1397721,B001DKMZ3G,5,Kids love these. Five Stars
1397723,B001DKMZ3G,1,"Great variation but very low saturation. Low color lay down, shouldve gone with the name brand Ok for middle school students at best"
1397724,B001DKMZ3G,5,i love these pencils they are smooth coloring Five Stars
1397725,B001DKMZ3G,2,They don't have the intense color pigment I was expecting. I'm disappointed. I'm disappointed.
1397726,B001DKMZ3G,5,Awesome colored pencils. Five Stars
1397727,B001DKMZ3G,2,"Okay for children, these would work just fine. However, I was disappointed. You have to press hard for the colors to even be semi vibrant. I received a duplicate (only 1 at first glance), the packaging came torn, and some of the pencils are chipped up on the body. Colors are not vibrant and I would not recommend. Works, not worth it"
1397728,B001DKMZ3G,5,Great selection for color therapy.  Able to do more detail than regular crayons and not as messy as gel pens.  The devil is in the details. Great selection for color therapy
1397729,B001DKMZ3G,5,Great Value; perfect for beginner and intermediate artists. Happy x 100
1397730,B001DKMZ3G,5,whit I needed Five Stars
1397731,B001DKMZ3G,5,good set of pencils for the money. Five Stars
1397732,B001DKMZ3G,5,Wonderful set! Five Stars
1397733,B001DKMZ3G,4,Mom loved them Four Stars
1397734,B001DKMZ3G,5,Nice set of colored pencils Gift
1397735,B001DKMZ3G,4,Decent Colored Pencils. Now I need a good sharpener for them! Decent Colored Pencils
1397736,B001DKMZ3G,5,Good pencils for good price. Five Stars
1397737,B001DKMZ3G,5,Love the way color. Very vibrant in color!! Will definitely buy more of these colored pencils!! Five Stars
1397738,B001DKMZ3G,5,Perfect Five Stars
1397739,B001DKMZ3G,5,good quality pencil at an affordable price! good quality and afffordable.
1397741,B001DKMZ3G,4,Good product and quick shipping. Good product and quick shipping.
1397742,B001DKMZ3G,5,great colors Five Stars
1397744,B001DKMZ3G,5,The hues are on point. Brightened up my day!
1397745,B001DKMZ3G,5,"Not as vivid as using markers. 50 colors is a nice selection for most coloring projects, whether I am using a coloring book or just drawing freehand. Nice markers"
1397746,B001DKMZ3G,4,Great deal and nice selection of colors to draw with...definitely recommend. Great Purchase!
1397747,B001DKMZ3G,5,"So even if these don't color the best
They look really nice and couldn't beat the lightening deal price. So even if these don't color the best They look really nice and couldn't beat the lightening ..."
1397748,B001DKMZ3G,5,good.. Five Stars
1397749,B001DKMZ3G,2,I was hoping for more variety in colors. There are like three shades of every color with not much difference between the shades. Lack of variety
1397750,B001DKMZ3G,5,My pre-teen daughter loves to draw & color & uses these often & likes them. Five Stars
1397751,B001DKMZ3G,5,"Bought on daily deal, I carry this set in a pencil bag in my purse and use it regularly through my week as I sit in boring meetings and need to doodle or color on cards. Perfectly great.  Pencils well made, leads of good quality. Fabulous range of colors."
1397752,B001DKMZ3G,5,"These pencils are rich in color, and so many nice shades.  Great for those adult coloring books. A really good coloring pencil !"
1397753,B001DKMZ3G,5,Just got them yesterday! Now waiting on the new book! Five Stars
1397754,B001DKMZ3G,5,Great value for the quality of pencil. Love me some colors
1397755,B001DKMZ3G,5,Pencils write nicely and have a great assortment of colors. Some colors are too similar and a lot of pressure needs to be applied to spot the difference. Great for the price
1397756,B001DKMZ3G,2,The pencil package was smashed to the point of being unuseable  and all the pencils were scattered throughout the larger box. Disappoiting since this was part of a gift. The pencil package was smashed to the point of being ...
1397757,B001DKMZ3G,5,My nieces and I enjoy these immensely. Five Stars
1397758,B001DKMZ3G,1,these seemed waxy and not a favorite i prefer crayola just didn't do it for me
1397759,B001DKMZ3G,1,Im very disappointed that the box did not have a full set in it! One Star
1397760,B001DKMZ3G,5,I prefer these to gel pens. Five Stars
1397762,B001DKMZ3G,5,Works perfect thanks Five Stars
1397763,B001DKMZ3G,5,I purchased these for my 10yo nephew. He loves them. Excellent
1397764,B001DKMZ3G,5,These are a very nice quality pencil. Love them! Five Stars
1397765,B001DKMZ3G,5,These work great and hold up to traveling. Great colors/better than Crayola.
1397766,B001DKMZ3G,5,"Previously bought a kit from a different retailer, had to buy more Five Stars"
1397767,B001DKMZ3G,5,Love it Five Stars
1397768,B001DKMZ3G,5,"I have bought at least 10 packs of these and given them away as gifts.  They were cheaper when I bought them.  If they go down again, I will buy more. I have bought at least 10 packs of these and ..."
1397769,B001DKMZ3G,5,Bought as gift. Look like nice pencils. Bought as gift
1397770,B001DKMZ3G,5,Very nice quality and work well along my prismacolor pencils Five Stars
1397771,B001DKMZ3G,5,Awesome variety of colors. Awesome
1397772,B001DKMZ3G,4,Great deal on a huge pack of pencils. Got it for four. Four Stars
1397773,B001DKMZ3G,5,Great pack of color pencils. My niece loved them! Came in fast and there were no broken tips! Great Color Pencils!
1397774,B001DKMZ3G,4,Very nice Four Stars
1397775,B001DKMZ3G,2,"The force you need to use to get any decent level of color off these pencils is pretty high. Im not a pencil artist expert, but my kids $5 crayola pencils do a much nicer job and provide a much more even and consistent color without using hulk-like force. On a positive note, the color selection is nice. So-so at best. Get a different brand."
1397776,B001DKMZ3G,2,"These pencils have suffered from the problem that so many ""school"" quality ones do - most of the leads are completely broken inside. I've had them for under a month and some of them are already down to just stubs because just about every time I sharpen them (carefully, using a hand-held sharpener), the lead falls out.

I'm looking into other options for my color-coding needs. You get what you pay for, I guess"
1397777,B001DKMZ3G,4,bough it for gift to a friend Four Stars
1397779,B001DKMZ3G,5,good quality Five Stars
1397780,B001DKMZ3G,5,Very Nice! Five Stars
1397781,B001DKMZ3G,5,"Nicer than expected.  Arrived early, in good condition.  Makes a great gift. Buy this,  buy this,  buy this!"
1397782,B001DKMZ3G,5,I gave this as a gift. The recipient commented that these were much better than any pencils she had bought for coloring. She was happy so I was happy. Would definitely recommend
1397783,B001DKMZ3G,5,Returned. Five Stars
1397784,B001DKMZ3G,5,"Lovely colors with the usual stubby points made by a non-standard sharpener.  Easily corrected by my trusty, old pencil sharpener.  Then they can shade, as well as outline. Great colored pencils!"
1397786,B001DKMZ3G,1,These colored pencils are awful. Bought these for my daughter. Just getting around to sharpening these because they are not used often. I find it ridiculous that the lead breaks every time it's sharpened. I've sharpened them down to 1/3- 1/2 of the pencil on the first sharpen. Waste of money. Waste of money
1397787,B001DKMZ3G,4,Good for the price Four Stars
1397788,B001DKMZ3G,5,My grandkids love these. Five Stars
1397789,B001DKMZ3G,2,"These are okay, but not into the ""good"" category and I don't like them. That's twofold, the lead and the color options.
It's not unusual to want a scratch sheet inside to show the true color, so that doesn't bother me.
However, it's a hard-hard lead - you really have to press to get a bold color (or something that will not just fade completely away even at high-res scanning), it doesn't blend well with paper or cotton, and it shows the pencil marks badly, both light strokes and it dents paper when you're bearing down to get deep colors.
There are a LOT of very, very similar colors. You expect some of that with 50 packs, but this one is pretty bad and a lot of the really-close and repeat colors are in the pink-red and the yellow realms that I just don't use as much even for highlights or tinting markers and other pencil shades. It's worsened by the hard lead aspect - by the time you've put down enough lead/force, you're losing a lot of the subtlety that made it worth producing that color in the first place.

I like Sargent brand, I do. But either get the smaller packs to be sure, or - for real, even for arch students and definitely broadsheet art students - either pay for prismacolor or F-C (if you need/want good and lots of options that come from soft-soft lead), or just get a 24- or 36-pk Crayola set. With good hand control, the softer Crayolas will give you as much versatility as these with good hand control or by layering over grays, yellows, pinks and pale blue-greens to create different tones. Standards crayolas also blend better than these with sticks or cotton. Only ""meh"" - very hard lead, not that much color differentiation"
1397790,B001DKMZ3G,5,These work really well for me. I actually need a new set because Ive been coloring at work to keep my anxiety down and so they have been used quite a bit. These pencils DO wear down quickly so a good quality sharpener is a must. So far all of the pencils have sharpened beautifully with only one being a dud that kept breaking. The colors are vibrant and do an amazing job of bringing the pictures to life. I will be getting another set. Great quality for the price
1397791,B001DKMZ3G,5,gift Five Stars
1397792,B001DKMZ3G,5,Satisfied buyer. Bought two packs. We are both like using them in our Journaling Bibles. Thanks. Five Stars
1397793,B001DKMZ3G,5,grand kids use them all the time Five Stars
1397795,B001DKMZ3G,5,I love these colored pencils. I use them all the time. Five Stars
1397796,B001DKMZ3G,4,Great selection of colors. Four Stars
1397797,B001DKMZ3G,5,Great!! Five Stars
1397798,B001DKMZ3G,4,a+ Four Stars
1397799,B001DKMZ3G,5,They are pencils. What can I say? They work fine and do all that I need them to do. They work fine and do all that I need them to do
1397800,B001DKMZ3G,5,Used as an accessory with a gift of adult coloring books! Good to send with gift of coloring books!
1397801,B001DKMZ3G,5,Nice colors! Five Stars
1397802,B001DKMZ3G,1,"Extremely disappointed. You cannot see the colors and most of the colors look the same as one another. You should not have to press hard to get the effect you want nor should you have to. You can't blend with them either. No matter what you do, it will not layer to darken. I am so glad that I did a test page before I ruined my sketch Don't waste your money on these"
1397803,B001DKMZ3G,5,gift Five Stars
1397804,B001DKMZ3G,4,"These coloured pencils were of ok quality better than a few other expensive brands that I have tried. However after sharpening a few of the pencils they seem to be rotted inside. The colors are vibrant , my favourite colours are the gold and silver .I was also disappointed that the pack didn't come with a recommended pencil sharpener . I have used these pencils for about a month before reviewing. Good coloured pencils"
1397805,B001DKMZ3G,5,Excellent product Five Stars
1397806,B001DKMZ3G,5,Nice colours Five Stars
1397807,B001DKMZ3G,5,"The Sargent line is usually a little more expensive than better-known brands like Crayola or Prang, but this pack of a dozen is a bargain, at present anyway.  Color of pencils are orange, brown, blue, violet, black, yellow, light green, dark green, dark red, rose pink, white, and light blue.  The ones I bought turned out to be unusually sturdy.  If a dozen colors are enough, this is a really good product. Oh Yeah!"
1397808,B001DKMZ3G,5,No problems. Five Stars
1397809,B001DKMZ3G,5,Gift to a coloring friend as I love Sargent for coloring. Great colored pencils
1397810,B001DKMZ3G,5,Love these.  Good variety of colors and blends colors well too. Love these. Good variety of colors and blends colors ...
1397811,B001DKMZ3G,5,Got these and have them to my grandson who loves to draw. He thought they were great!! He loved the colors and the way they colored! He thought they were great!! He loved the colors and the way ...
1397812,B001DKMZ3G,2,Soso Two Stars
1397813,B001DKMZ3G,5,Ordered for Christmas Five Stars
1397814,B001DKMZ3G,4,Good pencils. Nice.
1397815,B001DKMZ3G,4,Great colors. Good buy.
1397816,B001DKMZ3G,5,A++ Five Stars
1397817,B001DKMZ3G,5,Great pencils I wish Amazon could handle more colors  Packs of 100 colors will be great. I will buy them. Great pencils I wish Amazon could handle more colors Packs ...
1397818,B001DKMZ3G,5,My grandkids love them. Five Stars
1397819,B001DKMZ3G,5,"These Are Some Very Nice And Wonderful Pencils To Use On These Kind Of Book's.  :) :)  They Work Really Nice..  :)  :)  I Hope Your Doing Great On This Sunday, This Weekend. And I Hope You Are Having Lot's Of Fun... Stay Safe...... :) :) God Bless.. :)  Take Care. Bye Bye.. From David.. :) :) :) :} : ]  These Are Some Very Nice Pencils To Use On These Kind Of Book's. : ) : ]  Thanks.."
1397820,B001DKMZ3G,5,Worked great. Five Stars
1397821,B001DKMZ3G,5,The family loves these.  We keep some in the car so we don't have to worry about crayons melting! Five Stars
1397822,B001DKMZ3G,5,Good colors. Five Stars
1397823,B001DKMZ3G,2,I must have got a bad batch because these set break easily especially when you have to sharpen them. The split just gets worst doesnt keep the lead in Eh
1397824,B001DKMZ3G,5,Colored lead seems harder and doesn't break once sharpened. Enjoying my coloring. Five Stars
1397825,B001DKMZ3G,5,My middle daughter loved this set. I ordered an adult coloring book to go with it. I have another budding artist. Love it.
1397826,B001DKMZ3G,5,"Absolutely love these pencils  right here, the color pops off the page and the pencils are so smooth Pencils"
1397827,B001DKMZ3G,5,"Good deal for colored pencils. The quality wasn't Prismacolor level, but as an occasional coloring book user, I don't really need such high quality coloring pencils. Still very good quality though, as I've also used the really cheapo colored pencils where you don't get the right texture of color transfer and such. These colored well, didn't require excessive pressure to get the color to transfer, and didn't get worn down so quickly that you had to resharpen frequently. Overall, pleased with these colored pencils. As of writing this review, the price has drastically dropped! I got them for $13 and thought it was a good deal, they're only $5 now! Good deal on good colored pencils for my amateur needs"
1397828,B001DKMZ3G,5,love this pencils. The colors are bright ... love it Five Stars
1397829,B001DKMZ3G,4,Bought these thrice. One for a friend and twice for my son. He lost one package and he really loved them so had to get another set. Great for school or play
1397830,B001DKMZ3G,4,good pencits Four Stars
1397831,B001DKMZ3G,4,Nice colors Four Stars
1397832,B001DKMZ3G,1,Half of pencils were broke... box was ripped. Poor poor poor.
1397833,B001DKMZ3G,5,good deal Five Stars
1397834,B001DKMZ3G,2,it hurt my paper poor
1397835,B001DKMZ3G,5,Good Five Stars
1397836,B001DKMZ3G,4,Good for the price but the lead seems to break too much when sharpening. Four Stars
1397837,B001DKMZ3G,1,"It's soooooo HARD to color with these, OMG!!!! They're not smooth at all, the hue in each one is very faint even if you push really hard against the paper. Don't waste your money!"
1397838,B001DKMZ3G,5,"Super pigmented and colourful. I use them for adult colouring books and they work very well. Would buy again, but I doubt I will need to. Love!"
1397839,B001DKMZ3G,5,"Nice hard leads and the colors are beautiful -- not ""kiddie"" type. Five Stars"
1397840,B001DKMZ3G,5,yes thank you Five Stars
1397841,B001DKMZ3G,5,I use them all the time!! Love them! Love them!
1397842,B001DKMZ3G,4,Daughter said they do the job... no complaints. Four Stars
1397843,B001DKMZ3G,5,"Nice little set with a decent price! Good colored pencils, great price"
1397844,B001DKMZ3G,5,These add great color to my world. Five Stars
1397845,B001DKMZ3G,4,Nice coloring Nice
1397846,B001DKMZ3G,5,Good quality. Sharpen nicely. Wish there were more red tones though. Five Stars
1397847,B001DKMZ3G,5,Love all of them. Five Stars
1397848,B001DKMZ3G,5,Perfect Five Stars
1397849,B001DKMZ3G,1,"This set doesn't even contain the main colors that usually come in any other pencil set.  The color that appears on the box is not how it comes out on the paper.  All of them are very light and inaccurate.  I couldn't believe that there isn't even a red pencil, it's orange.  There are MANY different shades of green, however, most of them look the same.  The colors don't adhere to the paper well and they are very dull. This box of pencils is a huge disappointment.  Don't waste your money. Don't Bother"
1397850,B001DKMZ3G,5,"Good pencils, great assortment and my kids love them. Good"
1397851,B001DKMZ3G,1,"I should have read the reviews more carefully. The colors are light and not at all accurate, and I got 2 Mahogany pencils and no Rose color, so to me that means there's a quality control issue there as well. Our nice electronic pencil sharpener likes to eat these also - the silver came with a broken tip and when I went to sharpen it half the pencil was gone in a matter of seconds. I'll be letting my kids have these and getting better pencils for my own use. Don't waste your $!!"
1397853,B001DKMZ3G,5,I bought these to go along with an adult coloring book and had them delivered to my friend who had surgery and was bedridden. She loved them. Thanks for the great product & service. Worked great
1397854,B001DKMZ3G,4,Really good value and they are a good quality of pencils Four Stars
1397855,B001DKMZ3G,5,"Great value, a good variety of colors and they write/color well. Five Stars"
1397856,B001DKMZ3G,5,Just as described Five Stars
1397857,B001DKMZ3G,4,Very pretty colors except I think your idea of salmon and my idea are two different things. Four Stars
1397858,B001DKMZ3G,4,good selection of colors Four Stars
1397859,B001DKMZ3G,2,"They suck. Not the worst quality I've ever had, but far from the the best. They're not bold at all. Waste of money Wish I just bought some prismacolors"
1397860,B001DKMZ3G,4,gift for my granddaughter. they work great and the packaging was good. they work great and the packaging was good
1397861,B001DKMZ3G,5,just what i needed for the coloring books Five Stars
1397862,B001DKMZ3G,2,Colors are not intense enough and they are hard to work with. Two Stars
1397863,B001DKMZ3G,5,"good coloring pencils, great price Five Stars"
1397865,B001DKMZ3G,4,Nice Four Stars
1397866,B001DKMZ3G,5,Great colours Five Stars
1397867,B001DKMZ3G,5,"very good for the kids use, good selection of color kids love it"
1397868,B001DKMZ3G,2,OK but not very vibrant Two Stars
1397869,B001DKMZ3G,4,"I love the pencils. They have great colors. They don't sharpen too well, but well enough for the price. You will need to buy or find a pencil box as the cardboard is flimsy and does not hold them in order. Great pencils for the price"
1397870,B001DKMZ3G,5,I got this for a friend of mine that is into coloring and he has been looking for gold and silver pencils and he couldn't find them.  this was a great find and had all he wanted.  I'm very pleased with this product and so is my friend. this was a great find and had all he wanted
1397871,B001DKMZ3G,5,Good product Colored pencils
1397872,B001DKMZ3G,5,Beautiful set! Don't forget to purchase a sharpener. Pencils
1397874,B001DKMZ3G,2,Wasn't as vibrant as I wanted. Two Stars
1397875,B001DKMZ3G,5,Love these pencils. Five Stars
1397876,B001DKMZ3G,5,Bright and colorful. Five Stars
1397877,B001DKMZ3G,2,"I usually do not write reviews. However I was so disappointed in these pencils I thought I should. They arrived on time and looking so promising. Sadly, the colors are not at all what they should be. In fact, 2 of the pencils are mislabeled. The ""Aqua Green"" is actually Dark Green(as dark as it can be...all the pencils lack vibrancy. ) And in turn, ""Dark Green"" is more a Kelly or Grass Green.

I am not at all a professional artist though I have been coloring almost daily for the last 2 years as a form of refocusing and stress reduction.  I tried these pencils on various types of paper. They were the same, washed out colors on my professional grade paper as they are on my son's construction paper.

I do not in any way see this as a reflection on Amazon. In the years I have been a customer, and through countless (seriously COUNTLESS) orders, i have been only been disappointed in a product 4-5 times. THATS A PRETTY AWESOME TRACK RECORD AMAZON!!!  However I was so disappointed in these pencils I thought I should"
1397878,B001DKMZ3G,4,Good Product Four Stars
1397879,B001DKMZ3G,5,Gift gift
1397880,B001DKMZ3G,5,Good selection of colors and a pretty good price as well. Nice Variety
1397881,B001DKMZ3G,4,"Many gorgeous colors, goes on smoothly and gives a lovely look much better than Crayola in my opinion. Only problem is the color on the pencil is different than that on paper, so testing then out on scratch paper first is smart. Very good, and great price!"
1397882,B001DKMZ3G,5,as expected. Five Stars
1397883,B001DKMZ3G,5,"Works great ,kids and adults love them coloring pencils"
1397884,B001DKMZ3G,5,"I love these pencils. Great assortment of colors. Good quality for the price. Looks good when I color in my new ""Color Me Happy"" book. Good pencils"
1397886,B001DKMZ3G,5,Love these Five Stars
1397887,B001DKMZ3G,5,vibrant colors Five Stars
